Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
api-suite23,,,,2019-11-22 15:18:20,2019-11-22 15:18:55,34.758s,FAILED
,,,,,,,
Test Cases/url-encoded,,,,2019-11-22 15:18:21,2019-11-22 15:18:31,9.447s,FAILED
Start listener action : enableSauceLabs,,,,2019-11-22 15:18:21,2019-11-22 15:18:21,0.035s,PASSED
"requestObject = findTestObject(""url-encoded"")",,,,2019-11-22 15:18:22,2019-11-22 15:18:23,0.862s,PASSED
response = sendRequestAndVerify(requestObject),,,,2019-11-22 15:18:23,2019-11-22 15:18:28,5.218s,PASSED
"verifyResponseStatusCode(response, 201)",,,,2019-11-22 15:18:28,2019-11-22 15:18:29,0.081s,FAILED
Start listener action : sampleAfterTestCase,,,,2019-11-22 15:18:29,2019-11-22 15:18:29,0.001s,PASSED
Start listener action : autoUpdateJobStatus,,,,2019-11-22 15:18:29,2019-11-22 15:18:29,0.003s,PASSED
Video,,,,2019-11-22 15:18:31,2019-11-22 15:18:31,0.001s,PASSED
,,,,,,,
Test Cases/requestbin,,,,2019-11-22 15:18:31,2019-11-22 15:18:39,7.975s,PASSED
Start listener action : enableSauceLabs,,,,2019-11-22 15:18:31,2019-11-22 15:18:31,0.001s,PASSED
"requestObject = findTestObject(""requestbin"", [""productName"":""soft drink 1""])",,,,2019-11-22 15:18:31,2019-11-22 15:18:31,0.514s,PASSED
response1 = sendRequest(requestObject),,,,2019-11-22 15:18:31,2019-11-22 15:18:34,2.792s,PASSED
"verifyResponseStatusCode(response1, 200)",,,,2019-11-22 15:18:34,2019-11-22 15:18:34,0.003s,PASSED
getStatusCode()).isEqualTo(200),,,,2019-11-22 15:18:34,2019-11-22 15:18:34,0.001s,PASSED
"verifyElementPropertyValue(response1, ""success"", true)",,,,2019-11-22 15:18:34,2019-11-22 15:18:34,0.038s,PASSED
response2 = sendRequestAndVerify(requestObject),,,,2019-11-22 15:18:34,2019-11-22 15:18:37,2.193s,PASSED
"verifyResponseStatusCode(response2, 200)",,,,2019-11-22 15:18:37,2019-11-22 15:18:37,0.007s,PASSED
getStatusCode()).isEqualTo(200),,,,2019-11-22 15:18:37,2019-11-22 15:18:37,0.003s,PASSED
"verifyElementPropertyValue(response2, ""success"", true)",,,,2019-11-22 15:18:37,2019-11-22 15:18:37,0.012s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-11-22 15:18:37,2019-11-22 15:18:37,0.024s,PASSED
Start listener action : autoUpdateJobStatus,,,,2019-11-22 15:18:37,2019-11-22 15:18:37,0.001s,PASSED
Video,,,,2019-11-22 15:18:39,2019-11-22 15:18:39,0.001s,PASSED
,,,,,,,
Test Cases/wsdl,,,,2019-11-22 15:18:39,2019-11-22 15:18:45,6.147s,PASSED
Start listener action : enableSauceLabs,,,,2019-11-22 15:18:39,2019-11-22 15:18:39,0.000s,PASSED
