Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
api-suite23,,,,2019-12-04 17:39:18,2019-12-04 17:39:34,15.529s,PASSED
,,,,,,,
Test Cases/url-encoded,,,,2019-12-04 17:39:18,2019-12-04 17:39:25,6.608s,PASSED
"requestObject = findTestObject(""url-encoded"")",,,,2019-12-04 17:39:19,2019-12-04 17:39:20,0.615s,PASSED
response = sendRequestAndVerify(requestObject),,,,2019-12-04 17:39:20,2019-12-04 17:39:23,3.296s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-12-04 17:39:23,2019-12-04 17:39:23,0.002s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-12-04 17:39:23,2019-12-04 17:39:23,0.005s,PASSED
Video,,,,2019-12-04 17:39:25,2019-12-04 17:39:25,0.001s,PASSED
,,,,,,,
Test Cases/requestbin,,,,2019-12-04 17:39:25,2019-12-04 17:39:31,6.048s,PASSED
"requestObject = findTestObject(""requestbin"", [""productName"":productName, ""dog"":dog])",,,,2019-12-04 17:39:25,2019-12-04 17:39:25,0.156s,PASSED
response1 = sendRequest(requestObject),,,,2019-12-04 17:39:25,2019-12-04 17:39:27,1.685s,PASSED
"verifyResponseStatusCode(response1, 200)",,,,2019-12-04 17:39:27,2019-12-04 17:39:27,0.002s,PASSED
getStatusCode()).isEqualTo(200),,,,2019-12-04 17:39:27,2019-12-04 17:39:27,0.002s,PASSED
"verifyElementPropertyValue(response1, ""success"", true)",,,,2019-12-04 17:39:27,2019-12-04 17:39:27,0.055s,PASSED
response2 = sendRequestAndVerify(requestObject),,,,2019-12-04 17:39:27,2019-12-04 17:39:29,1.819s,PASSED
"verifyResponseStatusCode(response2, 200)",,,,2019-12-04 17:39:29,2019-12-04 17:39:29,0.002s,PASSED
getStatusCode()).isEqualTo(200),,,,2019-12-04 17:39:29,2019-12-04 17:39:29,0.001s,PASSED
"verifyElementPropertyValue(response2, ""success"", true)",,,,2019-12-04 17:39:29,2019-12-04 17:39:29,0.022s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-12-04 17:39:29,2019-12-04 17:39:29,0.000s,PASSED
Video,,,,2019-12-04 17:39:31,2019-12-04 17:39:31,0.001s,PASSED
,,,,,,,
Test Cases/mockoon,,,,2019-12-04 17:39:31,2019-12-04 17:39:34,2.513s,PASSED
"sendRequest(findTestObject(""mockoon""))",,,,2019-12-04 17:39:31,2019-12-04 17:39:31,0.323s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-12-04 17:39:31,2019-12-04 17:39:31,0.000s,PASSED
Video,,,,2019-12-04 17:39:34,2019-12-04 17:39:34,0.001s,PASSED
