Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
api-suite23,,,,2019-12-27 18:35:15,2019-12-27 18:35:33,17.957s,FAILED
,,,,,,,
Test Cases/url-encoded,,,,2019-12-27 18:35:15,2019-12-27 18:35:23,7.860s,PASSED
"requestObject = findTestObject(""url-encoded"")",,,,2019-12-27 18:35:16,2019-12-27 18:35:17,0.763s,PASSED
response = sendRequestAndVerify(requestObject),,,,2019-12-27 18:35:17,2019-12-27 18:35:21,4.044s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-12-27 18:35:21,2019-12-27 18:35:21,0.007s,PASSED
runtimeMxBean = ManagementFactory.getRuntimeMXBean(),,,,2019-12-27 18:35:21,2019-12-27 18:35:21,0.030s,PASSED
arguments = runtimeMxBean.getInputArguments(),,,,2019-12-27 18:35:21,2019-12-27 18:35:21,0.019s,PASSED
println(arguments),,,,2019-12-27 18:35:21,2019-12-27 18:35:21,0.023s,PASSED
"println(System.getProperty(""test""))",,,,2019-12-27 18:35:21,2019-12-27 18:35:21,0.171s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-12-27 18:35:21,2019-12-27 18:35:21,0.005s,PASSED
Video,,,,2019-12-27 18:35:23,2019-12-27 18:35:23,0.001s,PASSED
,,,,,,,
Test Cases/requestbin,,,,2019-12-27 18:35:23,2019-12-27 18:35:30,7.238s,PASSED
"requestObject = findTestObject(""requestbin"", [""productName"":productName, ""dog"":dog])",,,,2019-12-27 18:35:23,2019-12-27 18:35:24,0.262s,PASSED
response1 = sendRequest(requestObject),,,,2019-12-27 18:35:24,2019-12-27 18:35:26,2.394s,PASSED
"verifyResponseStatusCode(response1, 200)",,,,2019-12-27 18:35:26,2019-12-27 18:35:26,0.003s,PASSED
getStatusCode()).isEqualTo(200),,,,2019-12-27 18:35:26,2019-12-27 18:35:26,0.002s,PASSED
"verifyElementPropertyValue(response1, ""success"", true)",,,,2019-12-27 18:35:26,2019-12-27 18:35:26,0.047s,PASSED
response2 = sendRequestAndVerify(requestObject),,,,2019-12-27 18:35:26,2019-12-27 18:35:28,2.022s,PASSED
"verifyResponseStatusCode(response2, 200)",,,,2019-12-27 18:35:28,2019-12-27 18:35:28,0.016s,PASSED
getStatusCode()).isEqualTo(200),,,,2019-12-27 18:35:28,2019-12-27 18:35:28,0.003s,PASSED
"verifyElementPropertyValue(response2, ""success"", true)",,,,2019-12-27 18:35:28,2019-12-27 18:35:28,0.033s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-12-27 18:35:28,2019-12-27 18:35:28,0.001s,PASSED
Video,,,,2019-12-27 18:35:30,2019-12-27 18:35:30,0.001s,PASSED
,,,,,,,
Test Cases/mockoon,,,,2019-12-27 18:35:30,2019-12-27 18:35:33,2.452s,FAILED
"sendRequest(findTestObject(""mockoon""))",,,,2019-12-27 18:35:30,2019-12-27 18:35:31,0.270s,FAILED
Start listener action : sampleAfterTestCase,,,,2019-12-27 18:35:31,2019-12-27 18:35:31,0.000s,PASSED
Video,,,,2019-12-27 18:35:33,2019-12-27 18:35:33,0.000s,PASSED
