Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
api-suite23,,,,2019-12-05 09:46:41,2019-12-05 09:47:00,18.843s,PASSED
,,,,,,,
Test Cases/url-encoded,,,,2019-12-05 09:46:41,2019-12-05 09:46:50,8.540s,PASSED
"requestObject = findTestObject(""url-encoded"")",,,,2019-12-05 09:46:42,2019-12-05 09:46:43,0.514s,PASSED
response = sendRequestAndVerify(requestObject),,,,2019-12-05 09:46:43,2019-12-05 09:46:48,5.229s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-12-05 09:46:48,2019-12-05 09:46:48,0.004s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-12-05 09:46:48,2019-12-05 09:46:48,0.012s,PASSED
Video,,,,2019-12-05 09:46:50,2019-12-05 09:46:50,0.001s,PASSED
,,,,,,,
Test Cases/requestbin,,,,2019-12-05 09:46:50,2019-12-05 09:46:57,7.073s,PASSED
"requestObject = findTestObject(""requestbin"", [""productName"":productName, ""dog"":dog])",,,,2019-12-05 09:46:50,2019-12-05 09:46:51,0.354s,PASSED
response1 = sendRequest(requestObject),,,,2019-12-05 09:46:51,2019-12-05 09:46:53,2.419s,PASSED
"verifyResponseStatusCode(response1, 200)",,,,2019-12-05 09:46:53,2019-12-05 09:46:53,0.002s,PASSED
getStatusCode()).isEqualTo(200),,,,2019-12-05 09:46:53,2019-12-05 09:46:53,0.001s,PASSED
"verifyElementPropertyValue(response1, ""success"", true)",,,,2019-12-05 09:46:53,2019-12-05 09:46:53,0.043s,PASSED
response2 = sendRequestAndVerify(requestObject),,,,2019-12-05 09:46:53,2019-12-05 09:46:55,1.841s,PASSED
"verifyResponseStatusCode(response2, 200)",,,,2019-12-05 09:46:55,2019-12-05 09:46:55,0.006s,PASSED
getStatusCode()).isEqualTo(200),,,,2019-12-05 09:46:55,2019-12-05 09:46:55,0.001s,PASSED
"verifyElementPropertyValue(response2, ""success"", true)",,,,2019-12-05 09:46:55,2019-12-05 09:46:55,0.043s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-12-05 09:46:55,2019-12-05 09:46:55,0.001s,PASSED
Video,,,,2019-12-05 09:46:57,2019-12-05 09:46:57,0.001s,PASSED
,,,,,,,
Test Cases/mockoon,,,,2019-12-05 09:46:57,2019-12-05 09:47:00,2.859s,PASSED
"sendRequest(findTestObject(""mockoon""))",,,,2019-12-05 09:46:57,2019-12-05 09:46:58,0.690s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-12-05 09:46:58,2019-12-05 09:46:58,0.001s,PASSED
Video,,,,2019-12-05 09:47:00,2019-12-05 09:47:00,0.001s,PASSED
