Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
api-suite23,,,,2019-12-04 18:17:05,2019-12-04 18:17:22,17.200s,PASSED
,,,,,,,
Test Cases/url-encoded,,,,2019-12-04 18:17:05,2019-12-04 18:17:14,8.234s,PASSED
"requestObject = findTestObject(""url-encoded"")",,,,2019-12-04 18:17:06,2019-12-04 18:17:07,0.892s,PASSED
response = sendRequestAndVerify(requestObject),,,,2019-12-04 18:17:07,2019-12-04 18:17:11,4.356s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-12-04 18:17:11,2019-12-04 18:17:11,0.003s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-12-04 18:17:11,2019-12-04 18:17:11,0.008s,PASSED
Video,,,,2019-12-04 18:17:14,2019-12-04 18:17:14,0.001s,PASSED
,,,,,,,
Test Cases/requestbin,,,,2019-12-04 18:17:14,2019-12-04 18:17:20,6.074s,PASSED
"requestObject = findTestObject(""requestbin"", [""productName"":productName, ""dog"":dog])",,,,2019-12-04 18:17:14,2019-12-04 18:17:14,0.253s,PASSED
response1 = sendRequest(requestObject),,,,2019-12-04 18:17:14,2019-12-04 18:17:16,1.613s,PASSED
"verifyResponseStatusCode(response1, 200)",,,,2019-12-04 18:17:16,2019-12-04 18:17:16,0.003s,PASSED
getStatusCode()).isEqualTo(200),,,,2019-12-04 18:17:16,2019-12-04 18:17:16,0.002s,PASSED
"verifyElementPropertyValue(response1, ""success"", true)",,,,2019-12-04 18:17:16,2019-12-04 18:17:16,0.070s,PASSED
response2 = sendRequestAndVerify(requestObject),,,,2019-12-04 18:17:16,2019-12-04 18:17:18,1.749s,PASSED
"verifyResponseStatusCode(response2, 200)",,,,2019-12-04 18:17:18,2019-12-04 18:17:18,0.004s,PASSED
getStatusCode()).isEqualTo(200),,,,2019-12-04 18:17:18,2019-12-04 18:17:18,0.003s,PASSED
"verifyElementPropertyValue(response2, ""success"", true)",,,,2019-12-04 18:17:18,2019-12-04 18:17:18,0.015s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-12-04 18:17:18,2019-12-04 18:17:18,0.001s,PASSED
Video,,,,2019-12-04 18:17:20,2019-12-04 18:17:20,0.001s,PASSED
,,,,,,,
Test Cases/mockoon,,,,2019-12-04 18:17:20,2019-12-04 18:17:22,2.479s,PASSED
"sendRequest(findTestObject(""mockoon""))",,,,2019-12-04 18:17:20,2019-12-04 18:17:20,0.242s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-12-04 18:17:20,2019-12-04 18:17:20,0.000s,PASSED
Video,,,,2019-12-04 18:17:22,2019-12-04 18:17:22,0.000s,PASSED
