Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
api-suite23,,,,2019-12-27 17:54:29,2019-12-27 17:54:47,17.217s,FAILED
,,,,,,,
Test Cases/url-encoded,,,,2019-12-27 17:54:30,2019-12-27 17:54:37,7.409s,PASSED
"requestObject = findTestObject(""url-encoded"")",,,,2019-12-27 17:54:30,2019-12-27 17:54:31,0.766s,PASSED
response = sendRequestAndVerify(requestObject),,,,2019-12-27 17:54:31,2019-12-27 17:54:35,3.922s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-12-27 17:54:35,2019-12-27 17:54:35,0.010s,PASSED
"println(System.getProperty(""test""))",,,,2019-12-27 17:54:35,2019-12-27 17:54:35,0.014s,PASSED
Video,,,,2019-12-27 17:54:37,2019-12-27 17:54:37,0.003s,PASSED
,,,,,,,
Test Cases/requestbin,,,,2019-12-27 17:54:37,2019-12-27 17:54:44,6.924s,PASSED
"requestObject = findTestObject(""requestbin"", [""productName"":productName, ""dog"":dog])",,,,2019-12-27 17:54:37,2019-12-27 17:54:38,0.366s,PASSED
response1 = sendRequest(requestObject),,,,2019-12-27 17:54:38,2019-12-27 17:54:40,2.088s,PASSED
"verifyResponseStatusCode(response1, 200)",,,,2019-12-27 17:54:40,2019-12-27 17:54:40,0.007s,PASSED
getStatusCode()).isEqualTo(200),,,,2019-12-27 17:54:40,2019-12-27 17:54:40,0.001s,PASSED
"verifyElementPropertyValue(response1, ""success"", true)",,,,2019-12-27 17:54:40,2019-12-27 17:54:40,0.104s,PASSED
response2 = sendRequestAndVerify(requestObject),,,,2019-12-27 17:54:40,2019-12-27 17:54:42,2.024s,PASSED
"verifyResponseStatusCode(response2, 200)",,,,2019-12-27 17:54:42,2019-12-27 17:54:42,0.003s,PASSED
getStatusCode()).isEqualTo(200),,,,2019-12-27 17:54:42,2019-12-27 17:54:42,0.010s,PASSED
"verifyElementPropertyValue(response2, ""success"", true)",,,,2019-12-27 17:54:42,2019-12-27 17:54:42,0.018s,PASSED
Video,,,,2019-12-27 17:54:44,2019-12-27 17:54:44,0.000s,PASSED
,,,,,,,
Test Cases/mockoon,,,,2019-12-27 17:54:44,2019-12-27 17:54:47,2.505s,FAILED
"sendRequest(findTestObject(""mockoon""))",,,,2019-12-27 17:54:44,2019-12-27 17:54:45,0.274s,FAILED
Video,,,,2019-12-27 17:54:47,2019-12-27 17:54:47,0.001s,PASSED
