Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
data-driven,,,,2019-11-29 11:07:28,2019-11-29 11:08:04,35.671s,PASSED
,,,,,,,
Test Cases/requestbin,,,,2019-11-29 11:07:29,2019-11-29 11:07:39,9.969s,PASSED
"requestObject = findTestObject(""requestbin"", [""productName"":productName, ""dog"":dog])",,,,2019-11-29 11:07:30,2019-11-29 11:07:30,0.286s,PASSED
response1 = sendRequest(requestObject),,,,2019-11-29 11:07:30,2019-11-29 11:07:34,3.675s,PASSED
"verifyResponseStatusCode(response1, 200)",,,,2019-11-29 11:07:34,2019-11-29 11:07:34,0.023s,PASSED
getStatusCode()).isEqualTo(200),,,,2019-11-29 11:07:34,2019-11-29 11:07:34,0.087s,PASSED
"verifyElementPropertyValue(response1, ""success"", true)",,,,2019-11-29 11:07:34,2019-11-29 11:07:34,0.058s,PASSED
response2 = sendRequestAndVerify(requestObject),,,,2019-11-29 11:07:34,2019-11-29 11:07:37,2.657s,PASSED
"verifyResponseStatusCode(response2, 200)",,,,2019-11-29 11:07:37,2019-11-29 11:07:37,0.003s,PASSED
getStatusCode()).isEqualTo(200),,,,2019-11-29 11:07:37,2019-11-29 11:07:37,0.002s,PASSED
"verifyElementPropertyValue(response2, ""success"", true)",,,,2019-11-29 11:07:37,2019-11-29 11:07:37,0.055s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-11-29 11:07:37,2019-11-29 11:07:37,0.005s,PASSED
Video,,,,2019-11-29 11:07:39,2019-11-29 11:07:39,0.001s,PASSED
,,,,,,,
Test Cases/requestbin,,,,2019-11-29 11:07:39,2019-11-29 11:07:45,6.258s,PASSED
"requestObject = findTestObject(""requestbin"", [""productName"":productName, ""dog"":dog])",,,,2019-11-29 11:07:39,2019-11-29 11:07:39,0.147s,PASSED
response1 = sendRequest(requestObject),,,,2019-11-29 11:07:39,2019-11-29 11:07:41,1.679s,PASSED
"verifyResponseStatusCode(response1, 200)",,,,2019-11-29 11:07:41,2019-11-29 11:07:41,0.002s,PASSED
getStatusCode()).isEqualTo(200),,,,2019-11-29 11:07:41,2019-11-29 11:07:41,0.001s,PASSED
"verifyElementPropertyValue(response1, ""success"", true)",,,,2019-11-29 11:07:41,2019-11-29 11:07:41,0.030s,PASSED
response2 = sendRequestAndVerify(requestObject),,,,2019-11-29 11:07:41,2019-11-29 11:07:43,2.279s,PASSED
"verifyResponseStatusCode(response2, 200)",,,,2019-11-29 11:07:43,2019-11-29 11:07:43,0.005s,PASSED
getStatusCode()).isEqualTo(200),,,,2019-11-29 11:07:43,2019-11-29 11:07:43,0.001s,PASSED
"verifyElementPropertyValue(response2, ""success"", true)",,,,2019-11-29 11:07:43,2019-11-29 11:07:43,0.033s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-11-29 11:07:43,2019-11-29 11:07:43,0.000s,PASSED
Video,,,,2019-11-29 11:07:45,2019-11-29 11:07:45,0.001s,PASSED
,,,,,,,
Test Cases/form-data,,,,2019-11-29 11:07:45,2019-11-29 11:07:55,9.780s,PASSED
"request = findTestObject(""form-data"", [""username"":username])",,,,2019-11-29 11:07:45,2019-11-29 11:07:46,0.410s,PASSED
"println(getVariables().get(""username""))",,,,2019-11-29 11:07:46,2019-11-29 11:07:46,0.004s,PASSED
response = sendRequestAndVerify(request),,,,2019-11-29 11:07:46,2019-11-29 11:07:53,7.198s,PASSED
println(response.getStatusCode()),,,,2019-11-29 11:07:53,2019-11-29 11:07:53,0.001s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-11-29 11:07:53,2019-11-29 11:07:53,0.000s,PASSED
Video,,,,2019-11-29 11:07:55,2019-11-29 11:07:55,0.001s,PASSED
,,,,,,,
Test Cases/form-data,,,,2019-11-29 11:07:55,2019-11-29 11:08:04,9.221s,PASSED
"request = findTestObject(""form-data"", [""username"":username])",,,,2019-11-29 11:07:55,2019-11-29 11:07:55,0.084s,PASSED
"println(getVariables().get(""username""))",,,,2019-11-29 11:07:55,2019-11-29 11:07:55,0.001s,PASSED
response = sendRequestAndVerify(request),,,,2019-11-29 11:07:55,2019-11-29 11:08:02,7.040s,PASSED
println(response.getStatusCode()),,,,2019-11-29 11:08:02,2019-11-29 11:08:02,0.001s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-11-29 11:08:02,2019-11-29 11:08:02,0.000s,PASSED
Video,,,,2019-11-29 11:08:04,2019-11-29 11:08:04,0.000s,PASSED
