Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
api-suite23,,,,2019-12-04 17:36:19,2019-12-04 17:36:36,17.472s,ERROR
,,,,,,,
Test Cases/url-encoded,,,,2019-12-04 17:36:19,2019-12-04 17:36:27,8.221s,PASSED
"requestObject = findTestObject(""url-encoded"")",,,,2019-12-04 17:36:20,2019-12-04 17:36:21,0.794s,PASSED
response = sendRequestAndVerify(requestObject),,,,2019-12-04 17:36:21,2019-12-04 17:36:25,4.196s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-12-04 17:36:25,2019-12-04 17:36:25,0.040s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-12-04 17:36:25,2019-12-04 17:36:25,0.010s,PASSED
Video,,,,2019-12-04 17:36:27,2019-12-04 17:36:27,0.001s,PASSED
,,,,,,,
Test Cases/requestbin,,,,2019-12-04 17:36:27,2019-12-04 17:36:34,6.238s,PASSED
"requestObject = findTestObject(""requestbin"", [""productName"":productName, ""dog"":dog])",,,,2019-12-04 17:36:28,2019-12-04 17:36:28,0.252s,PASSED
response1 = sendRequest(requestObject),,,,2019-12-04 17:36:28,2019-12-04 17:36:30,1.655s,PASSED
"verifyResponseStatusCode(response1, 200)",,,,2019-12-04 17:36:30,2019-12-04 17:36:30,0.003s,PASSED
getStatusCode()).isEqualTo(200),,,,2019-12-04 17:36:30,2019-12-04 17:36:30,0.002s,PASSED
"verifyElementPropertyValue(response1, ""success"", true)",,,,2019-12-04 17:36:30,2019-12-04 17:36:30,0.156s,PASSED
response2 = sendRequestAndVerify(requestObject),,,,2019-12-04 17:36:30,2019-12-04 17:36:32,1.819s,PASSED
"verifyResponseStatusCode(response2, 200)",,,,2019-12-04 17:36:32,2019-12-04 17:36:32,0.004s,PASSED
getStatusCode()).isEqualTo(200),,,,2019-12-04 17:36:32,2019-12-04 17:36:32,0.002s,PASSED
"verifyElementPropertyValue(response2, ""success"", true)",,,,2019-12-04 17:36:32,2019-12-04 17:36:32,0.034s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-12-04 17:36:32,2019-12-04 17:36:32,0.001s,PASSED
Video,,,,2019-12-04 17:36:34,2019-12-04 17:36:34,0.000s,PASSED
,,,,,,,
Test Cases/mockoon,,,,2019-12-04 17:36:34,2019-12-04 17:36:36,2.522s,ERROR
Start listener action : sampleAfterTestCase,,,,2019-12-04 17:36:34,2019-12-04 17:36:34,0.008s,PASSED
Video,,,,2019-12-04 17:36:36,2019-12-04 17:36:36,0.001s,PASSED
