Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
api-suite23,,,,2019-12-05 09:48:00,2019-12-05 09:48:20,20.343s,PASSED
,,,,,,,
Test Cases/url-encoded,,,,2019-12-05 09:48:00,2019-12-05 09:48:10,9.964s,PASSED
"requestObject = findTestObject(""url-encoded"")",,,,2019-12-05 09:48:01,2019-12-05 09:48:02,0.699s,PASSED
response = sendRequestAndVerify(requestObject),,,,2019-12-05 09:48:02,2019-12-05 09:48:08,6.299s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-12-05 09:48:08,2019-12-05 09:48:08,0.003s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-12-05 09:48:08,2019-12-05 09:48:08,0.009s,PASSED
Video,,,,2019-12-05 09:48:10,2019-12-05 09:48:10,0.001s,PASSED
,,,,,,,
Test Cases/requestbin,,,,2019-12-05 09:48:10,2019-12-05 09:48:16,6.519s,PASSED
"requestObject = findTestObject(""requestbin"", [""productName"":productName, ""dog"":dog])",,,,2019-12-05 09:48:10,2019-12-05 09:48:10,0.193s,PASSED
response1 = sendRequest(requestObject),,,,2019-12-05 09:48:10,2019-12-05 09:48:12,2.047s,PASSED
"verifyResponseStatusCode(response1, 200)",,,,2019-12-05 09:48:12,2019-12-05 09:48:12,0.003s,PASSED
getStatusCode()).isEqualTo(200),,,,2019-12-05 09:48:12,2019-12-05 09:48:12,0.002s,PASSED
"verifyElementPropertyValue(response1, ""success"", true)",,,,2019-12-05 09:48:12,2019-12-05 09:48:12,0.048s,PASSED
response2 = sendRequestAndVerify(requestObject),,,,2019-12-05 09:48:12,2019-12-05 09:48:14,1.905s,PASSED
"verifyResponseStatusCode(response2, 200)",,,,2019-12-05 09:48:14,2019-12-05 09:48:14,0.004s,PASSED
getStatusCode()).isEqualTo(200),,,,2019-12-05 09:48:14,2019-12-05 09:48:14,0.001s,PASSED
"verifyElementPropertyValue(response2, ""success"", true)",,,,2019-12-05 09:48:14,2019-12-05 09:48:14,0.036s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-12-05 09:48:14,2019-12-05 09:48:14,0.001s,PASSED
Video,,,,2019-12-05 09:48:16,2019-12-05 09:48:16,0.000s,PASSED
,,,,,,,
Test Cases/mockoon,,,,2019-12-05 09:48:16,2019-12-05 09:48:20,3.372s,PASSED
"sendRequest(findTestObject(""mockoon""))",,,,2019-12-05 09:48:17,2019-12-05 09:48:18,1.181s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-12-05 09:48:18,2019-12-05 09:48:18,0.001s,PASSED
Video,,,,2019-12-05 09:48:20,2019-12-05 09:48:20,0.000s,PASSED
