Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
api-suite23,,,,2019-11-22 15:19:07,2019-11-22 15:19:14,6.582s,FAILED
,,,,,,,
Test Cases/url-encoded,,,,2019-11-22 15:19:08,2019-11-22 15:19:14,6.367s,FAILED
Start listener action : enableSauceLabs,,,,2019-11-22 15:19:08,2019-11-22 15:19:08,0.016s,PASSED
"requestObject = findTestObject(""url-encoded"")",,,,2019-11-22 15:19:08,2019-11-22 15:19:09,0.521s,PASSED
response = sendRequestAndVerify(requestObject),,,,2019-11-22 15:19:09,2019-11-22 15:19:12,3.224s,PASSED
"verifyResponseStatusCode(response, 201)",,,,2019-11-22 15:19:12,2019-11-22 15:19:12,0.023s,FAILED
Start listener action : sampleAfterTestCase,,,,2019-11-22 15:19:12,2019-11-22 15:19:12,0.010s,PASSED
Start listener action : autoUpdateJobStatus,,,,2019-11-22 15:19:12,2019-11-22 15:19:12,0.003s,PASSED
Video,,,,2019-11-22 15:19:14,2019-11-22 15:19:14,0.001s,PASSED
