Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
api-suite23,,,,2019-12-04 18:29:09,2019-12-04 18:29:28,19.127s,PASSED
,,,,,,,
Test Cases/url-encoded,,,,2019-12-04 18:29:09,2019-12-04 18:29:19,9.123s,PASSED
"requestObject = findTestObject(""url-encoded"")",,,,2019-12-04 18:29:10,2019-12-04 18:29:11,0.913s,PASSED
response = sendRequestAndVerify(requestObject),,,,2019-12-04 18:29:11,2019-12-04 18:29:16,5.163s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-12-04 18:29:16,2019-12-04 18:29:17,0.007s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-12-04 18:29:17,2019-12-04 18:29:17,0.007s,PASSED
Video,,,,2019-12-04 18:29:19,2019-12-04 18:29:19,0.001s,PASSED
,,,,,,,
Test Cases/requestbin,,,,2019-12-04 18:29:19,2019-12-04 18:29:26,6.931s,PASSED
"requestObject = findTestObject(""requestbin"", [""productName"":productName, ""dog"":dog])",,,,2019-12-04 18:29:19,2019-12-04 18:29:19,0.284s,PASSED
response1 = sendRequest(requestObject),,,,2019-12-04 18:29:19,2019-12-04 18:29:22,2.262s,PASSED
"verifyResponseStatusCode(response1, 200)",,,,2019-12-04 18:29:22,2019-12-04 18:29:22,0.004s,PASSED
getStatusCode()).isEqualTo(200),,,,2019-12-04 18:29:22,2019-12-04 18:29:22,0.002s,PASSED
"verifyElementPropertyValue(response1, ""success"", true)",,,,2019-12-04 18:29:22,2019-12-04 18:29:22,0.090s,PASSED
response2 = sendRequestAndVerify(requestObject),,,,2019-12-04 18:29:22,2019-12-04 18:29:23,1.827s,PASSED
"verifyResponseStatusCode(response2, 200)",,,,2019-12-04 18:29:23,2019-12-04 18:29:23,0.005s,PASSED
getStatusCode()).isEqualTo(200),,,,2019-12-04 18:29:23,2019-12-04 18:29:23,0.001s,PASSED
"verifyElementPropertyValue(response2, ""success"", true)",,,,2019-12-04 18:29:23,2019-12-04 18:29:24,0.023s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-12-04 18:29:24,2019-12-04 18:29:24,0.001s,PASSED
Video,,,,2019-12-04 18:29:26,2019-12-04 18:29:26,0.001s,PASSED
,,,,,,,
Test Cases/mockoon,,,,2019-12-04 18:29:26,2019-12-04 18:29:28,2.522s,PASSED
"sendRequest(findTestObject(""mockoon""))",,,,2019-12-04 18:29:26,2019-12-04 18:29:26,0.248s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-12-04 18:29:26,2019-12-04 18:29:26,0.000s,PASSED
Video,,,,2019-12-04 18:29:28,2019-12-04 18:29:28,0.001s,PASSED
