Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
api-suite23,,,,2019-12-27 18:25:30,2019-12-27 18:25:47,16.516s,FAILED
,,,,,,,
Test Cases/url-encoded,,,,2019-12-27 18:25:30,2019-12-27 18:25:37,6.976s,PASSED
"requestObject = findTestObject(""url-encoded"")",,,,2019-12-27 18:25:31,2019-12-27 18:25:32,0.637s,PASSED
response = sendRequestAndVerify(requestObject),,,,2019-12-27 18:25:32,2019-12-27 18:25:35,3.557s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-12-27 18:25:35,2019-12-27 18:25:35,0.003s,PASSED
"println(System.getProperty(""test""))",,,,2019-12-27 18:25:35,2019-12-27 18:25:35,0.007s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-12-27 18:25:35,2019-12-27 18:25:35,0.009s,PASSED
Video,,,,2019-12-27 18:25:37,2019-12-27 18:25:37,0.001s,PASSED
,,,,,,,
Test Cases/requestbin,,,,2019-12-27 18:25:37,2019-12-27 18:25:44,6.630s,PASSED
"requestObject = findTestObject(""requestbin"", [""productName"":productName, ""dog"":dog])",,,,2019-12-27 18:25:38,2019-12-27 18:25:38,0.233s,PASSED
response1 = sendRequest(requestObject),,,,2019-12-27 18:25:38,2019-12-27 18:25:40,2.193s,PASSED
"verifyResponseStatusCode(response1, 200)",,,,2019-12-27 18:25:40,2019-12-27 18:25:40,0.003s,PASSED
getStatusCode()).isEqualTo(200),,,,2019-12-27 18:25:40,2019-12-27 18:25:40,0.001s,PASSED
"verifyElementPropertyValue(response1, ""success"", true)",,,,2019-12-27 18:25:40,2019-12-27 18:25:40,0.064s,PASSED
response2 = sendRequestAndVerify(requestObject),,,,2019-12-27 18:25:40,2019-12-27 18:25:42,1.766s,PASSED
"verifyResponseStatusCode(response2, 200)",,,,2019-12-27 18:25:42,2019-12-27 18:25:42,0.011s,PASSED
getStatusCode()).isEqualTo(200),,,,2019-12-27 18:25:42,2019-12-27 18:25:42,0.004s,PASSED
"verifyElementPropertyValue(response2, ""success"", true)",,,,2019-12-27 18:25:42,2019-12-27 18:25:42,0.056s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-12-27 18:25:42,2019-12-27 18:25:42,0.000s,PASSED
Video,,,,2019-12-27 18:25:44,2019-12-27 18:25:44,0.001s,PASSED
,,,,,,,
Test Cases/mockoon,,,,2019-12-27 18:25:44,2019-12-27 18:25:47,2.663s,FAILED
"sendRequest(findTestObject(""mockoon""))",,,,2019-12-27 18:25:44,2019-12-27 18:25:45,0.315s,FAILED
Start listener action : sampleAfterTestCase,,,,2019-12-27 18:25:45,2019-12-27 18:25:45,0.007s,PASSED
Video,,,,2019-12-27 18:25:47,2019-12-27 18:25:47,0.000s,PASSED
