Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
api-suite23,,,,2019-12-05 09:52:34,2019-12-05 09:52:52,17.470s,PASSED
,,,,,,,
Test Cases/url-encoded,,,,2019-12-05 09:52:35,2019-12-05 09:52:43,7.867s,PASSED
"requestObject = findTestObject(""url-encoded"")",,,,2019-12-05 09:52:35,2019-12-05 09:52:36,0.820s,PASSED
response = sendRequestAndVerify(requestObject),,,,2019-12-05 09:52:36,2019-12-05 09:52:41,4.280s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-12-05 09:52:41,2019-12-05 09:52:41,0.002s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-12-05 09:52:41,2019-12-05 09:52:41,0.015s,PASSED
Video,,,,2019-12-05 09:52:43,2019-12-05 09:52:43,0.001s,PASSED
,,,,,,,
Test Cases/requestbin,,,,2019-12-05 09:52:43,2019-12-05 09:52:49,6.612s,PASSED
"requestObject = findTestObject(""requestbin"", [""productName"":productName, ""dog"":dog])",,,,2019-12-05 09:52:43,2019-12-05 09:52:43,0.244s,PASSED
response1 = sendRequest(requestObject),,,,2019-12-05 09:52:43,2019-12-05 09:52:45,1.990s,PASSED
"verifyResponseStatusCode(response1, 200)",,,,2019-12-05 09:52:45,2019-12-05 09:52:45,0.003s,PASSED
getStatusCode()).isEqualTo(200),,,,2019-12-05 09:52:45,2019-12-05 09:52:45,0.002s,PASSED
"verifyElementPropertyValue(response1, ""success"", true)",,,,2019-12-05 09:52:45,2019-12-05 09:52:45,0.081s,PASSED
response2 = sendRequestAndVerify(requestObject),,,,2019-12-05 09:52:45,2019-12-05 09:52:47,1.876s,PASSED
"verifyResponseStatusCode(response2, 200)",,,,2019-12-05 09:52:47,2019-12-05 09:52:47,0.003s,PASSED
getStatusCode()).isEqualTo(200),,,,2019-12-05 09:52:47,2019-12-05 09:52:47,0.001s,PASSED
"verifyElementPropertyValue(response2, ""success"", true)",,,,2019-12-05 09:52:47,2019-12-05 09:52:47,0.051s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-12-05 09:52:47,2019-12-05 09:52:47,0.000s,PASSED
Video,,,,2019-12-05 09:52:49,2019-12-05 09:52:49,0.001s,PASSED
,,,,,,,
Test Cases/mockoon,,,,2019-12-05 09:52:49,2019-12-05 09:52:52,2.677s,PASSED
"sendRequest(findTestObject(""mockoon""))",,,,2019-12-05 09:52:49,2019-12-05 09:52:50,0.456s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-12-05 09:52:50,2019-12-05 09:52:50,0.001s,PASSED
Video,,,,2019-12-05 09:52:52,2019-12-05 09:52:52,0.001s,PASSED
