Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
api-suite23,,,,2019-12-30 15:20:37,2019-12-30 15:20:46,8.886s,PASSED
,,,,,,,
Test Cases/url-encoded,,,,2019-12-30 15:20:37,2019-12-30 15:20:46,8.517s,PASSED
"requestObject = findTestObject(""url-encoded"")",,,,2019-12-30 15:20:39,2019-12-30 15:20:40,1.214s,PASSED
response = sendRequestAndVerify(requestObject),,,,2019-12-30 15:20:40,2019-12-30 15:20:44,3.756s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-12-30 15:20:44,2019-12-30 15:20:44,0.006s,PASSED
runtimeMxBean = ManagementFactory.getRuntimeMXBean(),,,,2019-12-30 15:20:44,2019-12-30 15:20:44,0.024s,PASSED
arguments = runtimeMxBean.getInputArguments(),,,,2019-12-30 15:20:44,2019-12-30 15:20:44,0.010s,PASSED
println(arguments),,,,2019-12-30 15:20:44,2019-12-30 15:20:44,0.009s,PASSED
"println(System.getProperty(""test""))",,,,2019-12-30 15:20:44,2019-12-30 15:20:44,0.002s,PASSED
"println(System.getProperty(""test1""))",,,,2019-12-30 15:20:44,2019-12-30 15:20:44,0.002s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-12-30 15:20:44,2019-12-30 15:20:44,0.008s,PASSED
Video,,,,2019-12-30 15:20:46,2019-12-30 15:20:46,0.001s,PASSED
