Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
api-suite23,,,,2019-12-25 22:59:34,2019-12-25 23:00:16,41.734s,FAILED
,,,,,,,
Test Cases/url-encoded,,,,2019-12-25 22:59:34,2019-12-25 23:00:05,31.036s,PASSED
"requestObject = findTestObject(""url-encoded"")",,,,2019-12-25 22:59:35,2019-12-25 22:59:36,0.427s,PASSED
response = sendRequestAndVerify(requestObject),,,,2019-12-25 22:59:36,2019-12-25 23:00:03,27.647s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-12-25 23:00:03,2019-12-25 23:00:03,0.029s,PASSED
Video,,,,2019-12-25 23:00:05,2019-12-25 23:00:05,0.001s,PASSED
,,,,,,,
Test Cases/requestbin,,,,2019-12-25 23:00:05,2019-12-25 23:00:13,7.814s,PASSED
"requestObject = findTestObject(""requestbin"", [""productName"":productName, ""dog"":dog])",,,,2019-12-25 23:00:06,2019-12-25 23:00:06,0.291s,PASSED
response1 = sendRequest(requestObject),,,,2019-12-25 23:00:06,2019-12-25 23:00:08,2.527s,PASSED
"verifyResponseStatusCode(response1, 200)",,,,2019-12-25 23:00:08,2019-12-25 23:00:08,0.003s,PASSED
getStatusCode()).isEqualTo(200),,,,2019-12-25 23:00:08,2019-12-25 23:00:08,0.002s,PASSED
"verifyElementPropertyValue(response1, ""success"", true)",,,,2019-12-25 23:00:08,2019-12-25 23:00:09,0.059s,PASSED
response2 = sendRequestAndVerify(requestObject),,,,2019-12-25 23:00:09,2019-12-25 23:00:11,2.492s,PASSED
"verifyResponseStatusCode(response2, 200)",,,,2019-12-25 23:00:11,2019-12-25 23:00:11,0.004s,PASSED
getStatusCode()).isEqualTo(200),,,,2019-12-25 23:00:11,2019-12-25 23:00:11,0.002s,PASSED
"verifyElementPropertyValue(response2, ""success"", true)",,,,2019-12-25 23:00:11,2019-12-25 23:00:11,0.015s,PASSED
Video,,,,2019-12-25 23:00:13,2019-12-25 23:00:13,0.000s,PASSED
,,,,,,,
Test Cases/mockoon,,,,2019-12-25 23:00:13,2019-12-25 23:00:16,2.546s,FAILED
"sendRequest(findTestObject(""mockoon""))",,,,2019-12-25 23:00:13,2019-12-25 23:00:14,0.308s,FAILED
Video,,,,2019-12-25 23:00:16,2019-12-25 23:00:16,0.001s,PASSED
