Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
api-suite23,,,,2019-12-27 17:57:52,2019-12-27 17:58:10,17.516s,FAILED
,,,,,,,
Test Cases/url-encoded,,,,2019-12-27 17:57:53,2019-12-27 17:58:00,7.231s,PASSED
"requestObject = findTestObject(""url-encoded"")",,,,2019-12-27 17:57:53,2019-12-27 17:57:54,0.779s,PASSED
response = sendRequestAndVerify(requestObject),,,,2019-12-27 17:57:54,2019-12-27 17:57:58,3.775s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-12-27 17:57:58,2019-12-27 17:57:58,0.003s,PASSED
"println(System.getProperty(""test""))",,,,2019-12-27 17:57:58,2019-12-27 17:57:58,0.008s,PASSED
Video,,,,2019-12-27 17:58:00,2019-12-27 17:58:00,0.002s,PASSED
,,,,,,,
Test Cases/requestbin,,,,2019-12-27 17:58:00,2019-12-27 17:58:07,7.510s,PASSED
"requestObject = findTestObject(""requestbin"", [""productName"":productName, ""dog"":dog])",,,,2019-12-27 17:58:00,2019-12-27 17:58:01,0.426s,PASSED
response1 = sendRequest(requestObject),,,,2019-12-27 17:58:01,2019-12-27 17:58:03,2.473s,PASSED
"verifyResponseStatusCode(response1, 200)",,,,2019-12-27 17:58:03,2019-12-27 17:58:03,0.005s,PASSED
getStatusCode()).isEqualTo(200),,,,2019-12-27 17:58:03,2019-12-27 17:58:03,0.002s,PASSED
"verifyElementPropertyValue(response1, ""success"", true)",,,,2019-12-27 17:58:03,2019-12-27 17:58:03,0.152s,PASSED
response2 = sendRequestAndVerify(requestObject),,,,2019-12-27 17:58:03,2019-12-27 17:58:05,2.018s,PASSED
"verifyResponseStatusCode(response2, 200)",,,,2019-12-27 17:58:05,2019-12-27 17:58:05,0.004s,PASSED
getStatusCode()).isEqualTo(200),,,,2019-12-27 17:58:05,2019-12-27 17:58:05,0.001s,PASSED
"verifyElementPropertyValue(response2, ""success"", true)",,,,2019-12-27 17:58:05,2019-12-27 17:58:05,0.021s,PASSED
Video,,,,2019-12-27 17:58:07,2019-12-27 17:58:07,0.001s,PASSED
,,,,,,,
Test Cases/mockoon,,,,2019-12-27 17:58:07,2019-12-27 17:58:10,2.502s,FAILED
"sendRequest(findTestObject(""mockoon""))",,,,2019-12-27 17:58:08,2019-12-27 17:58:08,0.278s,FAILED
Video,,,,2019-12-27 17:58:10,2019-12-27 17:58:10,0.001s,PASSED
