Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
api-suite23,,,,2022-01-18 17:23:51,2022-01-18 17:24:19,28.631s,PASSED
,,,,,,,
Test Cases/url-encoded,,,,2022-01-18 17:23:51,2022-01-18 17:24:01,9.828s,PASSED
Start listener action : sampleBeforeTestCase,,,,2022-01-18 17:23:51,2022-01-18 17:23:51,0.150s,PASSED
"requestObject = findTestObject(""url-encoded"")",,,,2022-01-18 17:23:53,2022-01-18 17:23:54,1.473s,PASSED
response = sendRequestAndVerify(requestObject),,,,2022-01-18 17:23:54,2022-01-18 17:23:59,4.773s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2022-01-18 17:23:59,2022-01-18 17:23:59,0.003s,PASSED
runtimeMxBean = ManagementFactory.getRuntimeMXBean(),,,,2022-01-18 17:23:59,2022-01-18 17:23:59,0.078s,PASSED
arguments = runtimeMxBean.getInputArguments(),,,,2022-01-18 17:23:59,2022-01-18 17:23:59,0.010s,PASSED
println(arguments),,,,2022-01-18 17:23:59,2022-01-18 17:23:59,0.005s,PASSED
"println(System.getProperty(""test""))",,,,2022-01-18 17:23:59,2022-01-18 17:23:59,0.003s,PASSED
"println(System.getProperty(""test1""))",,,,2022-01-18 17:23:59,2022-01-18 17:23:59,0.000s,PASSED
Start listener action : sampleAfterTestCase,,,,2022-01-18 17:23:59,2022-01-18 17:23:59,0.002s,PASSED
Video,,,,2022-01-18 17:24:01,2022-01-18 17:24:01,0.001s,PASSED
,,,,,,,
Test Cases/requestbin,,,,2022-01-18 17:24:01,2022-01-18 17:24:09,8.091s,PASSED
Start listener action : sampleBeforeTestCase,,,,2022-01-18 17:24:01,2022-01-18 17:24:01,0.018s,PASSED
"requestObject = findTestObject(""requestbin"", [""productName"":productName, ""dog"":dog])",,,,2022-01-18 17:24:02,2022-01-18 17:24:02,0.431s,PASSED
response1 = sendRequest(requestObject),,,,2022-01-18 17:24:02,2022-01-18 17:24:04,2.077s,PASSED
"verifyResponseStatusCode(response1, 200)",,,,2022-01-18 17:24:04,2022-01-18 17:24:04,0.006s,PASSED
getStatusCode()).isEqualTo(200),,,,2022-01-18 17:24:04,2022-01-18 17:24:04,0.011s,PASSED
"verifyElementPropertyValue(response1, ""success"", true)",,,,2022-01-18 17:24:04,2022-01-18 17:24:05,0.222s,PASSED
response2 = sendRequestAndVerify(requestObject),,,,2022-01-18 17:24:05,2022-01-18 17:24:07,2.159s,PASSED
"verifyResponseStatusCode(response2, 200)",,,,2022-01-18 17:24:07,2022-01-18 17:24:07,0.005s,PASSED
getStatusCode()).isEqualTo(200),,,,2022-01-18 17:24:07,2022-01-18 17:24:07,0.002s,PASSED
"verifyElementPropertyValue(response2, ""success"", true)",,,,2022-01-18 17:24:07,2022-01-18 17:24:07,0.042s,PASSED
Start listener action : sampleAfterTestCase,,,,2022-01-18 17:24:07,2022-01-18 17:24:07,0.001s,PASSED
Video,,,,2022-01-18 17:24:09,2022-01-18 17:24:09,0.000s,PASSED
,,,,,,,
Test Cases/follow-redirects,,abc huy dev 123,,2022-01-18 17:24:09,2022-01-18 17:24:13,3.553s,PASSED
Start listener action : sampleBeforeTestCase,,,,2022-01-18 17:24:09,2022-01-18 17:24:09,0.020s,PASSED
"request = findTestObject(""follow-redirects"")",,,,2022-01-18 17:24:09,2022-01-18 17:24:09,0.068s,PASSED
request.setFollowRedirects(false),,,,2022-01-18 17:24:09,2022-01-18 17:24:09,0.003s,PASSED
response = sendRequest(request),,,,2022-01-18 17:24:09,2022-01-18 17:24:11,1.080s,PASSED
println(response.getStatusCode()),,,,2022-01-18 17:24:11,2022-01-18 17:24:11,0.000s,PASSED
Start listener action : sampleAfterTestCase,,,,2022-01-18 17:24:11,2022-01-18 17:24:11,0.000s,PASSED
Video,,,,2022-01-18 17:24:13,2022-01-18 17:24:13,0.000s,PASSED
,,,,,,,
Test Cases/requestbin,,,,2022-01-18 17:24:13,2022-01-18 17:24:19,6.698s,PASSED
Start listener action : sampleBeforeTestCase,,,,2022-01-18 17:24:13,2022-01-18 17:24:13,0.016s,PASSED
"requestObject = findTestObject(""requestbin"", [""productName"":productName, ""dog"":dog])",,,,2022-01-18 17:24:13,2022-01-18 17:24:13,0.431s,PASSED
response1 = sendRequest(requestObject),,,,2022-01-18 17:24:13,2022-01-18 17:24:15,2.029s,PASSED
"verifyResponseStatusCode(response1, 200)",,,,2022-01-18 17:24:15,2022-01-18 17:24:15,0.007s,PASSED
getStatusCode()).isEqualTo(200),,,,2022-01-18 17:24:15,2022-01-18 17:24:15,0.001s,PASSED
"verifyElementPropertyValue(response1, ""success"", true)",,,,2022-01-18 17:24:15,2022-01-18 17:24:15,0.020s,PASSED
response2 = sendRequestAndVerify(requestObject),,,,2022-01-18 17:24:15,2022-01-18 17:24:17,1.915s,PASSED
"verifyResponseStatusCode(response2, 200)",,,,2022-01-18 17:24:17,2022-01-18 17:24:17,0.007s,PASSED
getStatusCode()).isEqualTo(200),,,,2022-01-18 17:24:17,2022-01-18 17:24:17,0.003s,PASSED
"verifyElementPropertyValue(response2, ""success"", true)",,,,2022-01-18 17:24:17,2022-01-18 17:24:17,0.068s,PASSED
Start listener action : sampleAfterTestCase,,,,2022-01-18 17:24:17,2022-01-18 17:24:17,0.005s,PASSED
Video,,,,2022-01-18 17:24:19,2022-01-18 17:24:19,0.001s,PASSED
