Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
api-suite23,,,,2019-12-04 18:26:24,2019-12-04 18:26:44,19.998s,PASSED
,,,,,,,
Test Cases/url-encoded,,,,2019-12-04 18:26:24,2019-12-04 18:26:33,9.101s,PASSED
"requestObject = findTestObject(""url-encoded"")",,,,2019-12-04 18:26:25,2019-12-04 18:26:26,0.750s,PASSED
response = sendRequestAndVerify(requestObject),,,,2019-12-04 18:26:26,2019-12-04 18:26:31,5.242s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-12-04 18:26:31,2019-12-04 18:26:31,0.004s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-12-04 18:26:31,2019-12-04 18:26:31,0.028s,PASSED
Video,,,,2019-12-04 18:26:33,2019-12-04 18:26:33,0.001s,PASSED
,,,,,,,
Test Cases/requestbin,,,,2019-12-04 18:26:33,2019-12-04 18:26:41,7.787s,PASSED
"requestObject = findTestObject(""requestbin"", [""productName"":productName, ""dog"":dog])",,,,2019-12-04 18:26:34,2019-12-04 18:26:34,0.437s,PASSED
response1 = sendRequest(requestObject),,,,2019-12-04 18:26:34,2019-12-04 18:26:37,2.609s,PASSED
"verifyResponseStatusCode(response1, 200)",,,,2019-12-04 18:26:37,2019-12-04 18:26:37,0.009s,PASSED
getStatusCode()).isEqualTo(200),,,,2019-12-04 18:26:37,2019-12-04 18:26:37,0.004s,PASSED
"verifyElementPropertyValue(response1, ""success"", true)",,,,2019-12-04 18:26:37,2019-12-04 18:26:37,0.142s,PASSED
response2 = sendRequestAndVerify(requestObject),,,,2019-12-04 18:26:37,2019-12-04 18:26:39,1.929s,PASSED
"verifyResponseStatusCode(response2, 200)",,,,2019-12-04 18:26:39,2019-12-04 18:26:39,0.004s,PASSED
getStatusCode()).isEqualTo(200),,,,2019-12-04 18:26:39,2019-12-04 18:26:39,0.003s,PASSED
"verifyElementPropertyValue(response2, ""success"", true)",,,,2019-12-04 18:26:39,2019-12-04 18:26:39,0.068s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-12-04 18:26:39,2019-12-04 18:26:39,0.001s,PASSED
Video,,,,2019-12-04 18:26:41,2019-12-04 18:26:41,0.000s,PASSED
,,,,,,,
Test Cases/mockoon,,,,2019-12-04 18:26:41,2019-12-04 18:26:44,2.564s,PASSED
"sendRequest(findTestObject(""mockoon""))",,,,2019-12-04 18:26:41,2019-12-04 18:26:42,0.267s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-12-04 18:26:42,2019-12-04 18:26:42,0.009s,PASSED
Video,,,,2019-12-04 18:26:44,2019-12-04 18:26:44,0.001s,PASSED
