Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
api-suite23,,,,2019-12-27 18:18:58,2019-12-27 18:19:02,4.303s,FAILED
,,,,,,,
Test Cases/mockoon,,,,2019-12-27 18:18:58,2019-12-27 18:19:02,4.024s,FAILED
"sendRequest(findTestObject(""mockoon""))",,,,2019-12-27 18:18:59,2019-12-27 18:19:00,1.264s,FAILED
Start listener action : sampleAfterTestCase,,,,2019-12-27 18:19:00,2019-12-27 18:19:00,0.006s,PASSED
Video,,,,2019-12-27 18:19:02,2019-12-27 18:19:02,0.001s,PASSED
