Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
api-suite23,,,,2019-12-27 18:18:26,2019-12-27 18:18:46,19.478s,FAILED
,,,,,,,
Test Cases/url-encoded,,,,2019-12-27 18:18:27,2019-12-27 18:18:35,8.158s,PASSED
"requestObject = findTestObject(""url-encoded"")",,,,2019-12-27 18:18:28,2019-12-27 18:18:29,0.853s,PASSED
response = sendRequestAndVerify(requestObject),,,,2019-12-27 18:18:29,2019-12-27 18:18:33,4.481s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-12-27 18:18:33,2019-12-27 18:18:33,0.003s,PASSED
"println(System.getProperty(""test""))",,,,2019-12-27 18:18:33,2019-12-27 18:18:33,0.026s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-12-27 18:18:33,2019-12-27 18:18:33,0.007s,PASSED
Video,,,,2019-12-27 18:18:35,2019-12-27 18:18:35,0.002s,PASSED
,,,,,,,
Test Cases/requestbin,,,,2019-12-27 18:18:35,2019-12-27 18:18:43,8.054s,PASSED
"requestObject = findTestObject(""requestbin"", [""productName"":productName, ""dog"":dog])",,,,2019-12-27 18:18:36,2019-12-27 18:18:36,0.495s,PASSED
response1 = sendRequest(requestObject),,,,2019-12-27 18:18:36,2019-12-27 18:18:39,2.777s,PASSED
"verifyResponseStatusCode(response1, 200)",,,,2019-12-27 18:18:39,2019-12-27 18:18:39,0.003s,PASSED
getStatusCode()).isEqualTo(200),,,,2019-12-27 18:18:39,2019-12-27 18:18:39,0.001s,PASSED
"verifyElementPropertyValue(response1, ""success"", true)",,,,2019-12-27 18:18:39,2019-12-27 18:18:39,0.047s,PASSED
response2 = sendRequestAndVerify(requestObject),,,,2019-12-27 18:18:39,2019-12-27 18:18:41,2.016s,PASSED
"verifyResponseStatusCode(response2, 200)",,,,2019-12-27 18:18:41,2019-12-27 18:18:41,0.014s,PASSED
getStatusCode()).isEqualTo(200),,,,2019-12-27 18:18:41,2019-12-27 18:18:41,0.056s,PASSED
"verifyElementPropertyValue(response2, ""success"", true)",,,,2019-12-27 18:18:41,2019-12-27 18:18:41,0.033s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-12-27 18:18:41,2019-12-27 18:18:41,0.000s,PASSED
Video,,,,2019-12-27 18:18:43,2019-12-27 18:18:43,0.001s,PASSED
,,,,,,,
Test Cases/mockoon,,,,2019-12-27 18:18:43,2019-12-27 18:18:46,2.592s,FAILED
"sendRequest(findTestObject(""mockoon""))",,,,2019-12-27 18:18:43,2019-12-27 18:18:44,0.312s,FAILED
Start listener action : sampleAfterTestCase,,,,2019-12-27 18:18:44,2019-12-27 18:18:44,0.000s,PASSED
Video,,,,2019-12-27 18:18:46,2019-12-27 18:18:46,0.000s,PASSED
