Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
data-driven,,,,2019-11-29 10:54:46,2019-11-29 10:55:20,34.463s,PASSED
,,,,,,,
Test Cases/requestbin,,,,2019-11-29 10:54:46,2019-11-29 10:54:57,10.382s,PASSED
"requestObject = findTestObject(""requestbin"", [""productName"":productName, ""dog"":dog])",,,,2019-11-29 10:54:48,2019-11-29 10:54:48,0.691s,PASSED
response1 = sendRequest(requestObject),,,,2019-11-29 10:54:48,2019-11-29 10:54:52,3.583s,PASSED
"verifyResponseStatusCode(response1, 200)",,,,2019-11-29 10:54:52,2019-11-29 10:54:52,0.019s,PASSED
getStatusCode()).isEqualTo(200),,,,2019-11-29 10:54:52,2019-11-29 10:54:52,0.238s,PASSED
"verifyElementPropertyValue(response1, ""success"", true)",,,,2019-11-29 10:54:52,2019-11-29 10:54:52,0.051s,PASSED
response2 = sendRequestAndVerify(requestObject),,,,2019-11-29 10:54:52,2019-11-29 10:54:55,2.319s,PASSED
"verifyResponseStatusCode(response2, 200)",,,,2019-11-29 10:54:55,2019-11-29 10:54:55,0.003s,PASSED
getStatusCode()).isEqualTo(200),,,,2019-11-29 10:54:55,2019-11-29 10:54:55,0.002s,PASSED
"verifyElementPropertyValue(response2, ""success"", true)",,,,2019-11-29 10:54:55,2019-11-29 10:54:55,0.026s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-11-29 10:54:55,2019-11-29 10:54:55,0.005s,PASSED
Video,,,,2019-11-29 10:54:57,2019-11-29 10:54:57,0.001s,PASSED
,,,,,,,
Test Cases/requestbin,,,,2019-11-29 10:54:57,2019-11-29 10:55:03,5.955s,PASSED
"requestObject = findTestObject(""requestbin"", [""productName"":productName, ""dog"":dog])",,,,2019-11-29 10:54:57,2019-11-29 10:54:57,0.240s,PASSED
response1 = sendRequest(requestObject),,,,2019-11-29 10:54:57,2019-11-29 10:54:59,1.573s,PASSED
"verifyResponseStatusCode(response1, 200)",,,,2019-11-29 10:54:59,2019-11-29 10:54:59,0.002s,PASSED
getStatusCode()).isEqualTo(200),,,,2019-11-29 10:54:59,2019-11-29 10:54:59,0.001s,PASSED
"verifyElementPropertyValue(response1, ""success"", true)",,,,2019-11-29 10:54:59,2019-11-29 10:54:59,0.016s,PASSED
response2 = sendRequestAndVerify(requestObject),,,,2019-11-29 10:54:59,2019-11-29 10:55:01,1.986s,PASSED
"verifyResponseStatusCode(response2, 200)",,,,2019-11-29 10:55:01,2019-11-29 10:55:01,0.002s,PASSED
getStatusCode()).isEqualTo(200),,,,2019-11-29 10:55:01,2019-11-29 10:55:01,0.001s,PASSED
"verifyElementPropertyValue(response2, ""success"", true)",,,,2019-11-29 10:55:01,2019-11-29 10:55:01,0.030s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-11-29 10:55:01,2019-11-29 10:55:01,0.001s,PASSED
Video,,,,2019-11-29 10:55:03,2019-11-29 10:55:03,0.001s,PASSED
,,,,,,,
Test Cases/form-data,,,,2019-11-29 10:55:03,2019-11-29 10:55:12,8.967s,PASSED
"request = findTestObject(""form-data"", [""username"":username])",,,,2019-11-29 10:55:03,2019-11-29 10:55:03,0.141s,PASSED
"println(getVariables().get(""username""))",,,,2019-11-29 10:55:03,2019-11-29 10:55:03,0.006s,PASSED
response = sendRequestAndVerify(request),,,,2019-11-29 10:55:03,2019-11-29 10:55:10,6.599s,PASSED
println(response.getStatusCode()),,,,2019-11-29 10:55:10,2019-11-29 10:55:10,0.001s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-11-29 10:55:10,2019-11-29 10:55:10,0.001s,PASSED
Video,,,,2019-11-29 10:55:12,2019-11-29 10:55:12,0.001s,PASSED
,,,,,,,
Test Cases/form-data,,,,2019-11-29 10:55:12,2019-11-29 10:55:20,8.736s,PASSED
"request = findTestObject(""form-data"", [""username"":username])",,,,2019-11-29 10:55:12,2019-11-29 10:55:12,0.069s,PASSED
"println(getVariables().get(""username""))",,,,2019-11-29 10:55:12,2019-11-29 10:55:12,0.002s,PASSED
response = sendRequestAndVerify(request),,,,2019-11-29 10:55:12,2019-11-29 10:55:18,6.608s,PASSED
println(response.getStatusCode()),,,,2019-11-29 10:55:18,2019-11-29 10:55:18,0.000s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-11-29 10:55:18,2019-11-29 10:55:18,0.000s,PASSED
Video,,,,2019-11-29 10:55:20,2019-11-29 10:55:20,0.001s,PASSED
